idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,Total_wages,ttl_exp,tenure
1188,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,4.03,32,129,7,3.08
1196,36,Black,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,,32.16,50,1608,13,3
1198,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,7.43,40,297,15,5.92
1201,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,6.19,50,310,8,2.5
1203,36,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,6.79,40,272,14,0.33
1204,36,Black,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,10.47,42,440,13,12.33
1209,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,25.81,36,929,19,4.92
1213,40,White,Single,Has been married,16,College grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.03,40,161,7,1.08
1217,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.87,35,101,6,4.33
1218,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Sales,Nonunion,4.43,26,115,7,1.58
1219,39,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,15.1,40,604,20,20.25
1222,41,Black,Single,Never married,13,Not college grad,Not south,SMSA,Central city,,Sales,Nonunion,6.84,40,274,13,0
1224,41,Other,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,6.51,38,248,3,0.75
1227,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.07,40,203,10,1.08
1228,39,White,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,4.83,40,193,3,2.33
1233,34,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.36,37,161,10,2.75
1238,43,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Laborers,,13.02,10,130,6,1.5
1241,45,White,Single,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,9.68,40,387,10,2.75
1242,37,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.84,40,274,7,4.17
1243,44,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,,5.63,2,11,14,2.5
1247,35,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,17.54,30,526,14,2.5
1248,41,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,10.85,36,390,11,5.75
1250,35,Black,Single,Never married,17,College grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,6.96,40,279,11,3.67
1257,41,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Managers/Admin,Nonunion,9.53,38,362,21,20.83
1259,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,,8.53,40,341,6,1.92
1263,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.5,40,140,9,1.58
1264,44,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,5.42,60,325,19,0
1266,38,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.61,40,304,17,13.33
1269,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,7.4,40,296,17,13.75
1271,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.76,5,19,7,0.75
1273,39,White,Single,Never married,12,Not college grad,Not south,Not SMSA,Not central city,Personal services,Operatives,Nonunion,3.22,40,129,1,0.25
1275,42,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,8.56,40,342,16,11.5
1276,38,Black,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,7.35,40,294,17,15
1280,35,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.42,40,137,8,1.42
1283,42,Black,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.07,40,443,17,17.42
1284,34,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,5.72,40,229,12,9.42
1288,39,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,8.67,50,434,17,16.92
1289,38,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,10.72,48,515,12,9.42
1292,43,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,4.03,40,161,9,0.17
1304,43,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Personal services,Managers/Admin,Nonunion,5.51,45,248,10,6.25
1309,42,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.9,20,78,13,3.25
1313,41,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,12.78,40,511,10,1.67
1320,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,,4.03,3,12,3,0
1322,35,White,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,7.45,40,298,11,0.33
1325,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.19,40,167,8,0.17
1330,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,6.96,40,279,11,9.42
1339,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,8.05,30,242,14,10.67
1340,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,,5.85,28,164,5,1
1345,36,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Managers/Admin,,22.97,70,1608,11,4.5
1349,37,Black,Single,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,9.02,44,397,8,5.75
1355,35,Black,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.29,40,372,16,15.83
1358,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.32,60,619,12,2.08
1361,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,17.03,40,681,18,2.17
1362,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,3.22,16,52,5,1
1364,39,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,13.94,50,697,17,3
1366,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.34,33,110,14,1.33
1367,43,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.03,40,161,14,13.67
1370,34,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.9,40,356,11,11.25
1371,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,8.86,35,310,11,10.5
1373,43,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,12.75,40,510,14,6.83
1376,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,5.43,40,217,13,0.33
1379,43,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,10.13,40,405,16,10.92
1380,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.01,40,320,15,9.75
1381,44,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,11.27,40,451,21,20.92
1384,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.22,20,64,5,2.33
1385,38,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,6.2,60,372,13,0.67
1386,35,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,,3.76,32,120,4,0.17
1389,37,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,,3.05,40,122,6,0.58
1394,42,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,9.5,44,418,16,15.08
1396,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,16.26,40,650,19,18.83
1398,36,Black,Single,Has been married,17,College grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,11.46,50,573,16,12.83
1408,37,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Union,14.57,34,495,13,5.83
1411,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,3.22,30,97,16,1.83
1415,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Personal services,Laborers,,9.68,8,77,12,3.92
1418,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.93,40,237,9,3.75
1420,40,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,8.82,40,353,17,15.08
1426,37,White,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,4.83,40,193,5,3
1427,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.58,40,183,11,3
1428,42,White,Single,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,19.43,40,777,16,7.25
1434,42,White,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,3,24,72,2,0.25
1435,44,White,Married,Has been married,15,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,8.9,40,356,14,2.25
1436,43,White,Single,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,4.26,40,170,8,0.92
1437,44,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,13,50,650,9,4.83
1441,39,White,Single,Has been married,13,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.64,42,237,16,2.5
1448,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Union,3.66,40,147,8,2.83
1453,39,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,38.71,40,1548,10,2.75
1462,42,Black,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.67,50,434,16,4.33
1465,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,,6.34,40,253,15,1.25
1469,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,,4.18,15,63,17,0.67
1470,36,White,Single,Never married,18,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.05,50,403,11,1.5
1471,35,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.72,25,293,15,12.75
1475,36,Black,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.75,40,310,14,0
1478,38,White,Married,Has been married,8,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,,3.34,40,134,6,1.17
1479,43,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,6.63,35,232,15,13.67
1480,41,White,Single,Never married,16,College grad,Not south,SMSA,Central city,Transport/Comm/Utility,Managers/Admin,Nonunion,20.64,45,929,19,9
1482,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.1,23,117,10,4
1484,36,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,16.26,40,650,14,7.08
1486,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.78,32,153,14,6.42
1490,39,White,Single,Has been married,18,College grad,Not south,Not SMSA,Not central city,Public administration,Managers/Admin,Union,13.16,40,527,16,1.92
1492,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,12.01,40,480,14,0.33
1494,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,8.05,40,322,16,16
1499,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,4.91,40,196,14,3.83
1500,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Service,,2.8,40,112,12,1.92
1505,43,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.52,40,341,18,9.5
1506,38,White,Married,Has been married,13,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.28,40,211,7,1.25
1507,40,White,Single,Never married,18,College grad,South,Not SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,10.22,40,409,14,11.08
1508,35,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.94,40,438,15,13
1515,44,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Sales,Union,6.23,25,156,4,2.17
1519,44,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Sales,,4.6,40,184,9,0.92
1520,41,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Managers/Admin,Nonunion,11.88,43,511,18,7.17
1522,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,,5.43,15,82,5,0.25
1523,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,6.44,40,258,16,12.83
1525,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,,4.41,35,154,8,0.75
1526,42,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Transport,Nonunion,3.3,30,99,2,0.75
1529,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6,40,240,17,5
1530,38,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,11.2,28,313,7,4
1531,36,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Clerical/Unskilled,Nonunion,2.3,35,81,4,1.42
1540,39,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,,9.2,16,147,14,5.58
1542,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.39,40,176,15,4.42
1543,43,White,Married,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Union,10.45,40,418,7,3.83
1545,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,4.42,7,31,11,1.33
1557,39,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.61,40,224,14,0.75
1558,36,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,4.89,40,195,13,5.83
1559,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,6.71,40,269,17,9.58
1561,35,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,7.8,40,312,11,10.58
1562,42,White,Married,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,6.22,55,342,16,4.25
1563,39,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,6.71,60,402,13,2.75
1564,41,White,Single,Has been married,16,College grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,6.16,40,246,13,6.92
1565,39,White,Single,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,12.38,45,557,15,1.42
1566,39,Black,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,4.03,40,161,11,3.75
1572,40,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,,4.83,40,193,16,9.17
1577,41,Black,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Personal services,Sales,Nonunion,3.29,24,79,6,
1578,37,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,,38.71,40,1548,13,1.58
1580,38,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,,5.85,50,293,4,1.25
1582,40,Black,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,15.1,40,604,14,8.75
1583,39,Black,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,6.63,35,232,16,9.75
1585,36,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,,4.7,40,188,8,0.67
1588,43,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,4.03,24,97,10,0.17
1591,36,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.26,42,263,9,1.58
1595,41,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,7.54,38,286,15,7.42
1596,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,5.41,32,173,21,20.58
1598,44,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.4,36,122,8,2.08
1599,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.38,50,619,18,11.17
1600,42,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Operatives,Nonunion,3.62,53,192,15,3.42
1603,45,White,Married,Has been married,7,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.71,38,141,4,1.75
1604,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,3.7,40,148,7,3.58
1607,39,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Construction,Sales,Nonunion,8.05,38,306,16,1.33
1613,38,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.67,20,93,9,2.83
1614,42,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Entertainment/Rec svc,Sales,Nonunion,3.34,40,134,3,1
1616,40,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,7,22,154,10,6.42
1618,34,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.75,40,190,10,9.58
1620,45,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,,2.49,5,12,9,
1622,37,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,3.31,20,66,14,1.58
1623,41,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.55,40,182,10,6
1624,39,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,10.73,15,161,11,2.42
1625,37,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,,Professional/Technical,Nonunion,6.09,40,243,9,0.83
1626,35,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.99,45,179,16,10.25
1628,35,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Union,6.69,10,67,8,2
1630,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Laborers,,3.34,3,10,12,5
1631,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.23,32,135,11,3.67
1635,44,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.22,24,77,8,2.67
1636,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.23,8,34,10,0.58
1638,41,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.87,26,101,8,4.33
1641,36,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Personal services,Laborers,,3.05,15,46,11,0.92
1644,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Professional/Technical,Nonunion,9.37,38,356,18,14.83
1645,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.72,40,149,11,4.67
1646,37,White,Single,Never married,12,Not college grad,Not south,Not SMSA,Not central city,Personal services,Transport,Nonunion,2.66,35,93,11,3.42
1647,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.99,20,80,7,3.75
1648,35,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Union,8.9,40,356,15,8.83
1649,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Business/Repair svc,Professional/Technical,,13.38,36,482,16,2.67
1650,40,White,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Farm laborers,Nonunion,2.86,40,114,3,0.17
1651,41,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,,5.35,20,107,13,0.33
1653,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,9.73,50,487,16,10.5
1654,38,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Business/Repair svc,Other,Nonunion,10.22,50,511,17,3
1655,40,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,13.97,45,629,20,19.5
1656,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Union,6.78,40,271,20,19.67
1659,41,White,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,12.97,40,519,16,4.5
1664,38,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,20.64,60,1239,13,8.33
1669,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.1,36,364,16,13.42
1671,35,White,Single,Never married,9,Not college grad,Not south,Not SMSA,Not central city,Personal services,Laborers,Nonunion,3.34,32,107,1,0.08
1674,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Public administration,Managers/Admin,Nonunion,6.58,40,263,15,3.75
1675,42,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.83,40,193,11,9.83
1683,35,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,18.2,2,36,12,3.33
1686,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,6.44,2,13,9,6.08
1688,36,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,,5.02,32,161,9,3.5
1689,39,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,,2.8,40,112,14,0.42
1690,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,3.34,30,100,12,2.83
1691,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.92,38,225,19,11.75
1693,40,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,5.07,30,152,9,1.75
1697,37,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,3.1,60,186,14,1.75
1701,36,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Construction,Sales,Nonunion,5.23,40,209,10,0.75
1702,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,,2.8,30,84,7,0.17
1703,45,White,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.88,40,195,13,1.75
1707,38,White,Married,Has been married,9,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.15,39,279,11,4.42
1710,40,White,Single,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.6,45,387,15,14.83
1712,40,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.66,40,147,9,2.42
1713,38,White,Married,Has been married,8,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Laborers,,6.04,40,242,6,1.58
1714,35,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,,5.75,40,230,13,6.92
1716,35,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,,6.69,40,268,15,7.83
1719,39,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.92,50,596,18,15.83
1721,40,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.51,42,189,17,5
1724,40,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,12.22,38,464,18,9.25
1725,42,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,15.48,40,619,19,6.33
